"Time","coredns","etcd","grafana","kepler","kindnet-cni","kube-apiserver","kube-controller-manager","kube-proxy","kube-scheduler","kube-state-metrics","local-path-provisioner","prometheus-server","prometheus-server-configmap-reload","ue-ch-est","ue-ch-est-56967588d5-j4wds","ue-ch-mmse","ue-ch-mmse-86945f4b45-fqhfm","ue-check-crc","ue-check-crc-74c7fc4f64-zfrdr","ue-descrambling","ue-descrambling-c9454ff78-phz8p","ue-layer-demap","ue-layer-demap-7fd5c94944-jh5fm","ue-ldpc-dec","ue-ldpc-dec-57b6745967-s4pd4","ue-ofdm-demod","ue-ofdm-demod-6cf8d58bf7-hd4jd","ue-soft-demod","ue-soft-demod-5bf45b6d95-sgz6h"
1780042375000,0.015143617773632897,0.09086170664166826,0.03028723554722276,0.03028723554730884,0,0.19686703105694792,0.09086170664184044,0,0.04543085332092022,0.01514361777362214,0,0.01514361777361138,0,7.571808886812575,undefined,undefined,undefined,undefined,undefined,7.571808886812575,undefined,3.361883145744784,undefined,7.571808886812575,undefined,0,undefined,7.571808886812575,undefined
1780042376000,0.015143617773632897,0.09086170664166826,0.03028723554722276,0.03028723554730884,0,0.19686703105694792,0.09086170664184044,0,0.04543085332092022,0.01514361777362214,0,0.01514361777361138,0,7.571808886812575,undefined,undefined,undefined,undefined,undefined,7.571808886812575,undefined,3.361883145744784,undefined,7.571808886812575,undefined,0,undefined,7.571808886812575,undefined
1780042377000,0.015143617773632897,0.09086170664166826,0.03028723554722276,0.03028723554730884,0,0.19686703105694792,0.09086170664184044,0,0.04543085332092022,0.01514361777362214,0,0.01514361777361138,0,7.571808886812575,undefined,undefined,undefined,undefined,undefined,7.571808886812575,undefined,3.361883145744784,undefined,7.571808886812575,undefined,0,undefined,7.571808886812575,undefined
1780042378000,0.015143617773632897,0.09086170664166826,0.03028723554722276,0.03028723554730884,0,0.19686703105694792,0.09086170664184044,0,0.04543085332092022,0.01514361777362214,0,0.01514361777361138,0,7.571808886812575,undefined,undefined,undefined,undefined,undefined,7.571808886812575,undefined,3.361883145744784,undefined,7.571808886812575,undefined,0,undefined,7.571808886812575,undefined
1780042379000,0.015143617773632897,0.09086170664166826,0.03028723554722276,0.03028723554730884,0,0.19686703105694792,0.09086170664184044,0,0.04543085332092022,0.01514361777362214,0,0.01514361777361138,0,7.571808886812575,undefined,undefined,undefined,undefined,undefined,7.571808886812575,undefined,3.361883145744784,undefined,7.571808886812575,undefined,0,undefined,7.571808886812575,undefined
1780042380000,0.032589523353139825,0.0651790467064186,0,0.03258952335311667,0,0.14665285508939552,0.08147380838279167,0,0.048884285029675,0,0,0.04888428502976763,0,8.147380838286576,undefined,undefined,undefined,undefined,undefined,8.147380838286576,undefined,8.147380838286576,undefined,8.147380838286576,undefined,0,undefined,8.147380838286576,undefined
1780042381000,0.032589523353139825,0.0651790467064186,0,0.03258952335311667,0,0.14665285508939552,0.08147380838279167,0,0.048884285029675,0,0,0.04888428502976763,0,8.147380838286576,undefined,undefined,undefined,undefined,undefined,8.147380838286576,undefined,8.147380838286576,undefined,8.147380838286576,undefined,0,undefined,8.147380838286576,undefined
1780042382000,0.032589523353139825,0.0651790467064186,0,0.03258952335311667,0,0.14665285508939552,0.08147380838279167,0,0.048884285029675,0,0,0.04888428502976763,0,8.147380838286576,undefined,undefined,undefined,undefined,undefined,8.147380838286576,undefined,8.147380838286576,undefined,8.147380838286576,undefined,0,undefined,8.147380838286576,undefined
1780042383000,0.032589523353139825,0.0651790467064186,0,0.03258952335311667,0,0.14665285508939552,0.08147380838279167,0,0.048884285029675,0,0,0.04888428502976763,0,8.147380838286576,undefined,undefined,undefined,undefined,undefined,8.147380838286576,undefined,8.147380838286576,undefined,8.147380838286576,undefined,0,undefined,8.147380838286576,undefined
1780042384000,0.032589523353139825,0.0651790467064186,0,0.03258952335311667,0,0.14665285508939552,0.08147380838279167,0,0.048884285029675,0,0,0.04888428502976763,0,8.147380838286576,undefined,undefined,undefined,undefined,undefined,8.147380838286576,undefined,8.147380838286576,undefined,8.147380838286576,undefined,0,undefined,8.147380838286576,undefined
