"Time","coredns","etcd","grafana","kepler","kindnet-cni","kube-apiserver","kube-controller-manager","kube-proxy","kube-scheduler","kube-state-metrics","local-path-provisioner","prometheus-server","prometheus-server-configmap-reload","ue-ch-est","ue-ch-mmse","ue-ch-mmse-98b7f65cf-h6nwc","ue-check-crc","ue-check-crc-7f9f86875d-k5hd5","ue-descrambling","ue-descrambling-5c54bcf8b4-x74tv","ue-layer-demap","ue-layer-demap-56d87f6894-zvvxl","ue-ldpc-dec","ue-ofdm-demod","ue-ofdm-demod-7f9ddcf5f5-tpqwn","ue-soft-demod","ue-soft-demod-cc9c66bb5-5njnq"
2026-06-03 20:38:30,0,0,0,0.0819,0,0.164,0,0,0.0819,0,0,0,0,9.33,0,,0,,9.33,,9.33,,9.33,9.33,,9.33,
2026-06-03 20:38:31,0,0,0,0.0819,0,0.164,0,0,0.0819,0,0,0,0,9.33,0,,0,,9.33,,9.33,,9.33,9.33,,9.33,
2026-06-03 20:38:32,0,0,0,0.0819,0,0.164,0,0,0.0819,0,0,0,0,9.33,0,,0,,9.33,,9.33,,9.33,9.33,,9.33,
2026-06-03 20:38:33,0,0,0,0.0819,0,0.164,0,0,0.0819,0,0,0,0,9.33,0,,0,,9.33,,9.33,,9.33,9.33,,9.33,
2026-06-03 20:38:34,0,0,0,0.0819,0,0.164,0,0,0.0819,0,0,0,0,9.33,0,,0,,9.33,,9.33,,9.33,9.33,,9.33,
2026-06-03 20:38:35,0,0.143,0,0.0717,0,0.430,0.143,0.0717,0.0717,0,0,0.143,0,8.10,0,,6.24,,8.10,,8.10,,8.17,8.17,,8.17,
2026-06-03 20:38:36,0,0.143,0,0.0717,0,0.430,0.143,0.0717,0.0717,0,0,0.143,0,8.10,0,,6.24,,8.10,,8.10,,8.17,8.17,,8.17,
2026-06-03 20:38:37,0,0.143,0,0.0717,0,0.430,0.143,0.0717,0.0717,0,0,0.143,0,8.10,0,,6.24,,8.10,,8.10,,8.17,8.17,,8.17,
2026-06-03 20:38:38,0,0.143,0,0.0717,0,0.430,0.143,0.0717,0.0717,0,0,0.143,0,8.10,0,,6.24,,8.10,,8.10,,8.17,8.17,,8.17,
2026-06-03 20:38:39,0,0.143,0,0.0717,0,0.430,0.143,0.0717,0.0717,0,0,0.143,0,8.10,0,,6.24,,8.10,,8.10,,8.17,8.17,,8.17,
2026-06-03 20:38:40,0,0.173,0,0.0864,0,0.259,0.0864,0,0.0864,0,0,0,0,9.77,0,,9.68,,9.77,,9.77,,9.68,9.77,,9.68,
2026-06-03 20:38:41,0,0.173,0,0.0864,0,0.259,0.0864,0,0.0864,0,0,0,0,9.77,0,,9.68,,9.77,,9.77,,9.68,9.77,,9.68,
2026-06-03 20:38:42,0,0.173,0,0.0864,0,0.259,0.0864,0,0.0864,0,0,0,0,9.77,0,,9.68,,9.77,,9.77,,9.68,9.77,,9.68,
2026-06-03 20:38:43,0,0.173,0,0.0864,0,0.259,0.0864,0,0.0864,0,0,0,0,9.77,0,,9.68,,9.77,,9.77,,9.68,9.77,,9.68,
2026-06-03 20:38:44,0,0.173,0,0.0864,0,0.259,0.0864,0,0.0864,0,0,0,0,9.77,0,,9.68,,9.77,,9.77,,9.68,9.77,,9.68,
2026-06-03 20:38:45,0,0.194,0,0.194,0,0.292,0.0972,0,0.0972,0,0,0,0,11.0,0,,0,,10.9,,10.9,,10.9,10.9,,10.9,
2026-06-03 20:38:46,0,0.194,0,0.194,0,0.292,0.0972,0,0.0972,0,0,0,0,11.0,0,,0,,10.9,,10.9,,10.9,10.9,,10.9,
2026-06-03 20:38:47,0,0.194,0,0.194,0,0.292,0.0972,0,0.0972,0,0,0,0,11.0,0,,0,,10.9,,10.9,,10.9,10.9,,10.9,
2026-06-03 20:38:48,0,0.194,0,0.194,0,0.292,0.0972,0,0.0972,0,0,0,0,11.0,0,,0,,10.9,,10.9,,10.9,10.9,,10.9,
2026-06-03 20:38:49,0,0.194,0,0.194,0,0.292,0.0972,0,0.0972,0,0,0,0,11.0,0,,0,,10.9,,10.9,,10.9,10.9,,10.9,
2026-06-03 20:38:50,0,0,0,0.0836,0,0.251,0,0,0.167,0,0,0,0,9.28,0,,0,,9.28,,9.28,,9.28,9.28,,9.28,
2026-06-03 20:38:51,0,0,0,0.0836,0,0.251,0,0,0.167,0,0,0,0,9.28,0,,0,,9.28,,9.28,,9.28,9.28,,9.28,
2026-06-03 20:38:52,0,0,0,0.0836,0,0.251,0,0,0.167,0,0,0,0,9.28,0,,0,,9.28,,9.28,,9.28,9.28,,9.28,
2026-06-03 20:38:53,0,0,0,0.0836,0,0.251,0,0,0.167,0,0,0,0,9.28,0,,0,,9.28,,9.28,,9.28,9.28,,9.28,
2026-06-03 20:38:54,0,0,0,0.0836,0,0.251,0,0,0.167,0,0,0,0,9.28,0,,0,,9.28,,9.28,,9.28,9.28,,9.28,
2026-06-03 20:38:55,0,0,0,0.0837,0,0.251,0,0,0,0,0,0,0,9.29,0,,0,,9.29,,9.20,,9.20,9.29,,9.20,
2026-06-03 20:38:56,0,0,0,0.0837,0,0.251,0,0,0,0,0,0,0,9.29,0,,0,,9.29,,9.20,,9.20,9.29,,9.20,
2026-06-03 20:38:57,0,0,0,0.0837,0,0.251,0,0,0,0,0,0,0,9.29,0,,0,,9.29,,9.20,,9.20,9.29,,9.20,
2026-06-03 20:38:58,0,0,0,0.0837,0,0.251,0,0,0,0,0,0,0,9.29,0,,0,,9.29,,9.20,,9.20,9.29,,9.20,
